WL A,WL B,WL C,WL D
0.4594342317141127,0.3630859615900954,0.24046848794020806,0.03478093436569907
0.6964613552263472,0.7057888521283678,0.38653541449176476,0.34363387056509964
0.3678211329097394,0.43846369297560206,0.4928836094386923,0.6986432849953417
0.7875709739455488,0.8599076493062126,0.6719666264067358,0.3391362012771424
0.8057237188040745,0.7461180891222764,0.9830185904699638,0.9814661889395211
0.4308432489342522,0.46267968321570296,0.3529163692059768,0.2891813639726024
0.0648544829164166,0.14429913772904648,0.07051493883653003,0.43618260891526006
0.4837096369883511,0.5857207177390185,0.3653671943446506,0.09911430990905501
0.5895296852395404,0.4482358434984193,0.2517020467434297,0.40165212433203124
0.08428955773706548,0.1316709620718492,0.07905050856416224,0.5667465086735319
0.6206638102594297,0.5696439869365388,0.6982330631982764,0.8121164049080107
0.09839666655170731,0.10886710324559139,0.10472744643725959,0.08565723549691029
0.48138187199947424,0.5609726495408678,0.6080634962611973,0.8035837062343489
0.8978864494420122,0.9196148865395661,0.6877324194389515,0.32478802333935164
0.971059260511538,0.9722993527784132,0.8779205448387941,0.7427520474593621
0.48336619217297994,0.526093793844719,0.3254680350992413,0.16390543940360658
0.6457043534319382,0.7758060051855658,0.6764411165347547,0.44685491887503304
0.6090613104461227,0.45306493261879216,0.34027494455798585,0.11233276789425872
0.0826473553024698,0.12368063849512728,0.1397215897890656,0.6363137496227864
0.40092040933086537,0.35571998328023996,0.18499123374736,0.248463523137616
0.9644427784078289,0.9610087890101808,0.9583460192129366,0.948473551630741
0.8122360061679501,0.8119318178909475,0.8524853153370145,0.8494520454260055
0.5766112840210553,0.5633650668945679,0.4522531331307743,0.34770532048423775
0.5596989154291805,0.5399101367650263,0.38499236455542307,0.3215353750565555
0.1293093317945022,0.11484955785715527,0.052844720191983226,0.2763369819440413
0.02173405050416477,0.0287986666635945,0.06747253125816692,0.7494110336701851
0.32553977917996235,0.3614648526846668,0.4092401690211971,0.6962585958244745
0.6610455396876205,0.5861424772642401,0.6526956420704442,0.7585186182695907
0.42975752471829765,0.26544004848129726,0.1828279773063008,0.18418752049910836
0.8698759882536251,0.8514614000614849,0.7412540071951955,0.2501408055250067
0.8100479672721121,0.8125728925966522,0.6450058785443493,0.4658794807328377
0.8441681622352917,0.7656222991496274,0.5817077000834525,0.4383074992510956
0.9168463911337312,0.9000727177807164,0.9747108415190501,0.9700583460216876
0.32331635951413773,0.37571418223949027,0.30311937837822034,0.017600878520170227
0.654588953446364,0.6624340604891285,0.5825531652362855,0.49355985948932357
0.8062048515712377,0.9028303842003822,0.7751098706138749,0.7644054807897191
0.8857776394288521,0.9193664859690598,0.805156142105059,0.3631774373643566
0.43335140115232207,0.4057628603852386,0.3320768787029667,0.5956808660703246
0.7339435016911011,0.6674953280993962,0.6053376945765583,0.4274015771516133
0.17246992673608474,0.21788656836651893,0.14021895084091895,0.2899886365921702
0.5872610277438071,0.47401330646294043,0.3472451861052555,0.11574578957515769
0.5491595631174278,0.6051256601461569,0.49954637474830177,0.5998860576364677
0.49699247293756343,0.48075783645727205,0.36683404498809646,0.13706234874553047
0.9582514952926431,0.9493764875840571,0.8211730490879706,0.6346099448564928
0.18155279484926723,0.10639149977971432,0.33061815393493865,0.7539504175947513
0.6054773594660219,0.5406690824142967,0.3146612598439089,0.13199792787781917
0.7442167370172683,0.9075195517732082,0.7034581370508873,0.43450650668819435
0.17023455890011974,0.2638336515483349,0.10547303592630132,0.4054189928865526
0.35729440514114685,0.37459845574525547,0.5940498332122982,0.8162230530579109
0.05772059064474888,0.07286214573261526,0.08014395411024057,0.19714871860924177
0.5529038329550531,0.5256332947979602,0.8820675426670583,0.9004813619831111
0.6413595740159508,0.6776545781049534,0.48622819136561074,0.013455379026709124
0.011397449561627582,0.014293611485714865,0.003877910445007759,0.03794853304862045
0.7406210063782055,0.8219035806649523,0.6931636379284469,0.6371312426927034
0.1881724247650709,0.21203460973893526,0.19398777585082266,0.3526631774439011
0.08601834284490906,0.12660709352863428,0.3518779363905584,0.7863872900779825
0.17927908108686097,0.2062278536218823,0.12405795565677306,0.447458741866285
0.6422605038678739,0.5486076474050392,0.4209315058150357,0.14069794389070012
0.22045478885411285,0.20921681361792946,0.23596865690301908,0.24709877793793567
0.06889064182178117,0.14163549722350985,0.04032573354792981,0.07992870316957124
0.7375064052466769,0.8298181016432009,0.5587851513933554,0.30449426799896173
0.9842084530100692,0.9826167842622235,0.9597259158274781,0.9558636512083467
0.6252961700374726,0.7186340309088016,0.6671482603364429,0.7704776392492931
0.988301416306058,0.9739453902156241,0.8518596357313433,0.5168408886238467
0.4167164873506408,0.3943305184746829,0.2183823123528746,0.21669208971434273
0.0012120265455450863,0.0008182569488782201,0.6753002265113874,0.8703041763219517
0.626314503577305,0.6734532640695696,0.7236161607655998,0.6338606525387149
0.761940637108637,0.8235139529249083,0.6064320151079139,0.4630795410776045
0.9428561184031423,0.948767639795456,0.8977633580872199,0.8577576956886332
0.30188807743252255,0.3448802142722911,0.224519729554699,0.5691903019614983
0.658583616517717,0.6732561596698912,0.45635910127018886,0.49589307032874785
